iter	Passed	Remaining
561	3018	2352
562	3023	2346
563	3027	2340
564	3032	2334
565	3036	2328
566	3040	2322
567	3045	2315
568	3050	2310
569	3054	2304
570	3058	2297
571	3063	2292
572	3069	2287
573	3073	2281
574	3077	2274
575	3082	2269
576	3087	2263
577	3091	2257
578	3096	2251
579	3100	2245
580	3104	2238
581	3113	2236
582	3120	2231
583	3125	2226
584	3132	2222
585	3139	2217
586	3146	2214
587	3152	2209
588	3159	2204
589	3166	2200
590	3172	2195
591	3178	2190
592	3182	2184
593	3187	2178
594	3192	2172
595	3196	2166
596	3200	2160
597	3205	2154
598	3210	2149
599	3214	2143
600	3219	2137
601	3223	2131
602	3228	2125
603	3232	2119
604	3237	2113
605	3241	2107
606	3246	2101
607	3250	2095
608	3254	2089
609	3259	2084
610	3264	2078
611	3268	2072
612	3272	2066
613	3279	2061
614	3283	2055
615	3287	2049
616	3292	2044
617	3297	2038
618	3301	2031
619	3305	2026
620	3310	2020
621	3314	2014
622	3318	2008
623	3323	2002
624	3327	1996
625	3331	1990
626	3335	1984
627	3341	1979
628	3345	1973
629	3349	1967
630	3354	1961
631	3358	1955
632	3362	1949
633	3367	1943
634	3372	1938
635	3377	1932
636	3381	1926
637	3385	1921
638	3390	1915
639	3394	1909
640	3398	1903
641	3404	1898
642	3409	1893
643	3415	1887
644	3420	1882
645	3425	1877
646	3429	1871
647	3434	1865
648	3439	1860
649	3443	1854
650	3447	1848
651	3452	1842
652	3457	1837
653	3461	1831
654	3466	1825
655	3471	1820
656	3475	1814
657	3480	1808
658	3484	1803
659	3489	1797
660	3493	1791
661	3498	1786
662	3503	1780
663	3507	1775
664	3512	1769
665	3517	1763
666	3521	1758
667	3525	1752
668	3530	1746
669	3535	1741
670	3539	1735
671	3543	1729
672	3548	1724
673	3553	1718
674	3558	1713
675	3562	1707
676	3568	1702
677	3573	1696
678	3577	1691
679	3582	1685
680	3587	1680
681	3592	1675
682	3598	1670
683	3604	1665
684	3609	1660
685	3616	1655
686	3623	1650
687	3630	1646
688	3636	1641
689	3640	1635
690	3644	1629
691	3649	1624
692	3653	1618
693	3658	1612
694	3663	1607
695	3668	1602
696	3672	1596
697	3677	1590
698	3682	1585
699	3686	1580
700	3691	1574
701	3695	1568
702	3699	1563
703	3704	1557
704	3708	1551
705	3714	1546
706	3718	1540
707	3722	1535
708	3727	1529
709	3731	1524
710	3735	1518
711	3740	1512
712	3744	1507
713	3749	1501
714	3753	1496
715	3757	1490
716	3763	1485
717	3767	1479
718	3772	1474
719	3777	1469
720	3782	1463
721	3786	1458
722	3791	1452
723	3795	1447
724	3800	1441
725	3804	1435
726	3808	1430
727	3812	1424
728	3817	1419
729	3821	1413
730	3825	1407
731	3830	1402
732	3834	1396
733	3838	1391
734	3843	1385
735	3847	1380
736	3852	1374
737	3856	1369
738	3860	1363
739	3865	1358
740	3869	1352
741	3874	1347
742	3879	1341
743	3883	1336
744	3888	1330
745	3893	1325
746	3897	1319
747	3901	1314
748	3905	1308
749	3910	1303
750	3914	1297
751	3918	1292
752	3923	1287
753	3927	1281
754	3932	1275
755	3936	1270
756	3941	1265
757	3945	1259
758	3949	1254
759	3954	1248
760	3958	1243
761	3962	1237
762	3967	1232
763	3972	1227
764	3976	1221
765	3980	1216
766	3985	1210
767	3990	1205
768	3994	1199
769	3998	1194
770	4003	1189
771	4007	1183
772	4012	1178
773	4016	1172
774	4021	1167
775	4026	1162
776	4030	1156
777	4034	1151
778	4039	1145
779	4043	1140
780	4048	1135
781	4053	1130
782	4057	1124
783	4062	1119
784	4066	1113
785	4071	1108
786	4075	1103
787	4080	1097
788	4084	1092
789	4089	1087
790	4093	1081
791	4097	1076
792	4102	1070
793	4106	1065
794	4111	1060
795	4115	1054
796	4119	1049
797	4124	1043
798	4128	1038
799	4132	1033
800	4136	1027
801	4141	1022
802	4145	1016
803	4151	1012
804	4156	1006
805	4161	1001
806	4166	996
807	4173	991
808	4179	986
809	4185	981
810	4191	976
811	4199	972
812	4206	967
813	4211	962
814	4216	957
815	4220	951
816	4224	946
817	4229	940
818	4233	935
819	4237	930
820	4242	924
821	4246	919
822	4250	914
823	4255	908
824	4259	903
825	4264	898
826	4269	893
827	4273	887
828	4278	882
829	4284	877
830	4288	872
831	4292	866
832	4298	861
833	4302	856
834	4306	851
835	4311	845
836	4315	840
837	4320	835
838	4324	829
839	4329	824
840	4334	819
841	4338	814
842	4343	809
843	4348	803
844	4352	798
845	4356	793
846	4362	787
847	4366	782
848	4370	777
849	4374	771
850	4382	767
851	4386	762
852	4391	756
853	4396	751
854	4400	746
855	4404	740
856	4409	735
857	4413	730
858	4417	725
859	4421	719
860	4427	714
861	4431	709
862	4435	704
863	4439	698
864	4444	693
865	4448	688
866	4452	683
867	4456	677
868	4461	672
869	4465	667
870	4469	661
871	4474	656
872	4478	651
873	4483	646
874	4487	641
875	4492	635
876	4497	630
877	4501	625
878	4506	620
879	4510	615
880	4514	609
881	4519	604
882	4524	599
883	4529	594
884	4533	589
885	4537	583
886	4542	578
887	4546	573
888	4550	568
889	4555	563
890	4560	557
891	4564	552
892	4569	547
893	4574	542
894	4578	537
895	4582	531
896	4587	526
897	4592	521
898	4596	516
899	4601	511
900	4606	506
901	4611	501
902	4617	496
903	4623	491
904	4629	486
905	4635	480
906	4642	475
907	4648	470
908	4655	466
909	4660	460
910	4665	455
911	4672	450
912	4678	445
913	4682	440
914	4687	435
915	4691	430
916	4695	425
917	4699	419
918	4706	414
919	4710	409
920	4714	404
921	4720	399
922	4724	394
923	4728	388
924	4733	383
925	4737	378
926	4741	373
927	4746	368
928	4751	363
929	4756	357
930	4760	352
931	4765	347
932	4769	342
933	4773	337
934	4778	332
935	4783	327
936	4788	321
937	4793	316
938	4797	311
939	4803	306
940	4807	301
941	4812	296
942	4817	291
943	4821	286
944	4825	280
945	4830	275
946	4834	270
947	4839	265
948	4843	260
949	4848	255
950	4853	250
951	4857	244
952	4861	239
953	4865	234
954	4870	229
955	4874	224
956	4878	219
957	4883	214
958	4887	208
959	4891	203
960	4898	198
961	4902	193
962	4906	188
963	4910	183
964	4915	178
965	4919	173
966	4923	168
967	4928	162
968	4933	157
969	4937	152
970	4941	147
971	4946	142
972	4950	137
973	4954	132
974	4958	127
975	4963	122
976	4967	116
977	4971	111
978	4975	106
979	4980	101
980	4984	96
981	4988	91
982	4994	86
983	4998	81
984	5003	76
985	5007	71
986	5013	66
987	5017	60
988	5022	55
989	5027	50
990	5031	45
991	5036	40
992	5040	35
993	5045	30
994	5049	25
995	5053	20
996	5058	15
997	5063	10
998	5067	5
999	5071	0
