iter	Logloss
0	0.6622609774
1	0.6303442794
2	0.6075864417
3	0.5802052062
4	0.557863143
5	0.5308115111
6	0.5078487194
7	0.4878840646
8	0.4710804914
9	0.4549696004
10	0.4395212294
11	0.4261296761
12	0.4076470854
13	0.3953763278
14	0.3834058377
15	0.3691648937
16	0.3593731665
17	0.3509453454
18	0.3440787457
19	0.3357016444
20	0.3281436278
21	0.3194265278
22	0.3124813134
23	0.3059420201
24	0.2987325078
25	0.2919113979
26	0.2862518236
27	0.2820426917
28	0.2775628489
29	0.2726556273
30	0.2659193909
31	0.2603726412
32	0.2578349322
33	0.254343189
34	0.251506883
35	0.2483465216
36	0.2428593733
37	0.2385209704
38	0.2347223971
39	0.2317199535
40	0.227824388
41	0.2251325625
42	0.2209378046
43	0.2168881887
44	0.2145365061
45	0.2115175585
46	0.2094867927
47	0.2073244724
48	0.2055446399
49	0.2024844603
50	0.2007025598
51	0.1993428556
52	0.1977667304
53	0.1953389594
54	0.1937240828
55	0.1907640237
56	0.1893077058
57	0.1877533294
58	0.1855805954
59	0.184192992
60	0.1828052935
61	0.1806801252
62	0.1796994524
63	0.1782430745
64	0.1771383934
65	0.1758468175
66	0.1745956253
67	0.1730253931
68	0.1712815696
69	0.169664077
70	0.1687494954
71	0.1679528856
72	0.1670245523
73	0.165583805
74	0.1637388439
75	0.1629238928
76	0.1620126984
77	0.1605412023
78	0.1589265524
79	0.158080521
80	0.1574482542
81	0.1559634241
82	0.1548274375
83	0.1535618285
84	0.1527361108
85	0.1515959691
86	0.1509472472
87	0.1503308134
88	0.1496533057
89	0.1487858544
90	0.1482901634
91	0.1470446197
92	0.1465821959
93	0.1456867801
94	0.1444686183
95	0.1436871591
96	0.1428019697
97	0.1419865274
98	0.1415581309
99	0.1408680875
100	0.1399951774
101	0.1395221598
102	0.1388907962
103	0.1381340339
104	0.1371676009
105	0.1362806682
106	0.135860372
107	0.1353162241
108	0.1347019775
109	0.134201183
110	0.1332810356
111	0.1324042894
112	0.131863512
113	0.1312934443
114	0.1308343953
115	0.1300015514
116	0.1297221005
117	0.1292588973
118	0.1286523242
119	0.1280241681
120	0.1272419977
121	0.1268309505
122	0.1264399149
123	0.1257192991
124	0.125006593
125	0.124437031
126	0.1240691824
127	0.1233739402
128	0.1228767748
129	0.1223156728
130	0.1218248821
131	0.1212255375
132	0.1207831406
133	0.1204350354
134	0.1200779593
135	0.1196152543
136	0.1191840116
137	0.118873601
138	0.1185383665
139	0.1181956786
140	0.1177760041
141	0.1172971869
142	0.1170257235
143	0.1164338582
144	0.116150291
145	0.1158410151
146	0.1154562056
147	0.115093953
148	0.1147725113
149	0.1144620846
150	0.1140317948
151	0.1137288099
152	0.1132174957
153	0.1127695088
154	0.1121576459
155	0.1118260502
156	0.1115445906
157	0.1111117109
158	0.1107454251
159	0.1105180768
160	0.1101208165
161	0.109740197
162	0.109319494
163	0.1091472771
164	0.1086929118
165	0.1083938348
166	0.1080636824
167	0.1075011456
168	0.1072799075
169	0.1070724117
170	0.1068924533
171	0.106493423
172	0.1060480831
173	0.1058230668
174	0.1055247564
175	0.1051999678
176	0.1047109049
177	0.1044853684
178	0.1042823828
179	0.10394734
180	0.103504991
181	0.1032738765
182	0.1029364343
183	0.1026460851
184	0.1024773971
185	0.1021796169
186	0.1018524099
187	0.1014708686
188	0.1011167432
189	0.1007240078
190	0.1004030227
191	0.1000468395
192	0.09981940654
193	0.09951885766
194	0.09923692142
195	0.09901731415
196	0.09879918684
197	0.09853070536
198	0.09832115119
199	0.09801450328
200	0.09769286116
201	0.09740380047
202	0.09710825573
203	0.09693370091
204	0.09667518326
205	0.09656489895
206	0.09621252003
207	0.09595986694
208	0.09567557911
209	0.09535394494
210	0.09514007055
211	0.09499863209
212	0.09475600473
213	0.09452827585
214	0.09440728115
215	0.09420558287
216	0.09399556472
217	0.09380724247
218	0.09364601975
219	0.09344574368
220	0.09330146639
221	0.09306396367
222	0.09288121286
223	0.09264973959
224	0.09234644663
225	0.09206191697
226	0.09193792851
227	0.09164442666
228	0.09145403688
229	0.09125470667
230	0.09116736057
231	0.09092760211
232	0.09067103996
233	0.09054623856
234	0.09029987934
235	0.09008106411
236	0.09000178612
237	0.08976703118
238	0.08956057369
239	0.08931975096
240	0.08906744341
241	0.08883523764
242	0.0885961015
243	0.08838607003
244	0.08824286313
245	0.08806080706
246	0.08783740398
247	0.08758092362
248	0.08746473872
249	0.08731180947
250	0.08706833159
251	0.08682719294
252	0.08660550505
253	0.0864828733
254	0.0863583413
255	0.08618088027
256	0.0859307993
257	0.08573404047
258	0.08552499726
259	0.08535372702
260	0.08512162904
261	0.08495227282
262	0.08477821263
263	0.08447059134
264	0.08435893474
265	0.08421641677
266	0.08404524755
267	0.08386923391
268	0.08367982425
269	0.08346566788
270	0.0833100199
271	0.08317516643
272	0.08299202879
273	0.08274390021
274	0.08253325671
275	0.08236627883
276	0.08225136026
277	0.08194432643
278	0.08177328788
279	0.08168743424
280	0.08145054101
281	0.0811859979
282	0.08108312431
283	0.08091558073
284	0.08070491443
285	0.08060218141
286	0.08040363494
287	0.08023465464
288	0.08004464398
289	0.07994930416
290	0.07978119121
291	0.07962339948
292	0.07950223655
293	0.07925956506
294	0.07908624085
295	0.07890652461
296	0.07879320295
297	0.07862904472
298	0.07854967878
299	0.07840488492
300	0.07831780563
301	0.07818259219
302	0.07805285445
303	0.07788591628
304	0.07769500572
305	0.07757656614
306	0.07742727966
307	0.07728127217
308	0.07710322043
309	0.07702178228
310	0.07684114353
311	0.07669788139
312	0.07650920189
313	0.07637662269
314	0.0762446616
315	0.07610927726
316	0.07600351205
317	0.07584441134
318	0.07571170788
319	0.0756378346
320	0.07553565259
321	0.0752981912
322	0.07513203302
323	0.07500554358
324	0.07492657458
325	0.07482143581
326	0.07474027524
327	0.07464997938
328	0.07457648183
329	0.07451318884
330	0.07440249379
331	0.07427600581
332	0.07407971082
333	0.07398385459
334	0.07392436295
335	0.07375397452
336	0.07363314876
337	0.07351139311
338	0.07336759948
339	0.07322280739
340	0.07307981602
341	0.07300392743
342	0.07286780325
343	0.07270185065
344	0.07257274632
345	0.07245327876
346	0.07229872306
347	0.07216203724
348	0.07199479857
349	0.07187162005
350	0.07177507417
351	0.07154853929
352	0.07139472179
353	0.07132176305
354	0.07117018205
355	0.07099795264
356	0.07086059766
357	0.07072796204
358	0.07065591444
359	0.07058752826
360	0.07048543483
361	0.07037257086
362	0.07024999268
363	0.07015153979
364	0.07003597046
365	0.06992314919
366	0.06982520373
367	0.06976556399
368	0.06964155841
369	0.06955697814
370	0.06946095056
371	0.0693100496
372	0.06921725607
373	0.06913399099
374	0.06906778728
375	0.06897065157
376	0.06891049042
377	0.06879517563
378	0.06872441663
379	0.06859984063
380	0.06843407733
381	0.06828176749
382	0.06822262786
383	0.06808442646
384	0.06796276987
385	0.06784957098
386	0.06777516374
387	0.06763016993
388	0.06749397709
389	0.06741273284
390	0.06730346548
391	0.067227131
392	0.06716083038
393	0.06694381016
394	0.06689911577
395	0.06677066611
396	0.06666314438
397	0.06658749085
398	0.0665116752
399	0.06643356156
400	0.06631689665
401	0.06614931819
402	0.06606406902
403	0.06596666389
404	0.06583239264
405	0.06577638965
406	0.06565257621
407	0.06550696881
408	0.0654081453
409	0.06528495635
410	0.0651711093
411	0.0650883334
412	0.06502500008
413	0.06488999257
414	0.06479502831
415	0.0646526829
416	0.06455435515
417	0.06444816059
418	0.06439379036
419	0.06434565957
420	0.0642693639
421	0.06414091841
422	0.0639703973
423	0.06385881615
424	0.06380310952
425	0.06373784802
426	0.06366041489
427	0.06354752792
428	0.06343568385
429	0.06336223816
430	0.06327526403
431	0.0631619167
432	0.06300440627
433	0.06293732557
434	0.06279202206
435	0.06273186738
436	0.0626381598
437	0.06250254125
438	0.06241955796
439	0.06235522803
440	0.0621859278
441	0.06213413355
442	0.06202744997
443	0.06194239268
444	0.06184151275
445	0.06175250476
446	0.06169193596
447	0.06157046507
448	0.06148654413
449	0.06141649634
450	0.0613391235
451	0.06123775676
452	0.0611614715
453	0.06103579315
454	0.06098870841
455	0.06088732697
456	0.0606887588
457	0.06058975238
458	0.06047956263
459	0.06041185584
460	0.06031989165
461	0.06021017689
462	0.06012447617
463	0.05999408174
464	0.05992532557
465	0.05985164207
466	0.05967472466
467	0.05961109448
468	0.0595585493
469	0.0594532151
470	0.05935964121
471	0.05927613911
472	0.05918249528
473	0.05899930771
474	0.05889477027
475	0.05882465704
476	0.05872707866
477	0.05862637126
478	0.05850724732
479	0.05841258583
480	0.05831737133
481	0.05821566408
482	0.05813333511
483	0.05806815657
484	0.05801933086
485	0.05794464303
486	0.05782458279
487	0.0577504554
488	0.05768572492
489	0.05760787209
490	0.05752255586
491	0.05742544971
492	0.05734127648
493	0.05725927459
494	0.05714415777
495	0.05706664412
496	0.05700224516
497	0.05692073459
498	0.05683573322
499	0.05677377722
500	0.05670454221
501	0.05660424387
502	0.05652958123
503	0.056448685
504	0.05636859284
505	0.05632387597
506	0.05624055523
507	0.05617160105
508	0.05609243015
509	0.05600437819
510	0.05591638973
511	0.05575744886
512	0.05569074333
513	0.05562945028
514	0.05555775132
515	0.05547121294
516	0.05538084135
517	0.05533764992
518	0.05520596375
519	0.05511512089
520	0.05501795378
521	0.05496298027
522	0.05488163371
523	0.05480423991
524	0.05471874516
525	0.05466062068
526	0.05456278507
527	0.05447764913
528	0.05441237583
529	0.05432686113
530	0.05422296788
531	0.05416427952
532	0.05409260318
533	0.05404800652
534	0.05396807628
535	0.05387842895
536	0.05382324244
537	0.05374911414
538	0.05368267012
539	0.05360057443
540	0.05356818307
541	0.05346950605
542	0.05336240745
543	0.05326741507
544	0.05320757703
545	0.05314908481
546	0.05309479532
547	0.05303627613
548	0.05296531753
549	0.05288874204
550	0.05282208952
551	0.05275666391
552	0.05270945847
553	0.05261737984
554	0.0525226552
555	0.05243697417
556	0.05237592832
557	0.0522590149
558	0.05216819011
559	0.05211085276
560	0.05200626641
561	0.05193175433
562	0.05187644981
563	0.05181969069
564	0.05174748935
565	0.05161879865
566	0.05151504346
567	0.05139202089
568	0.05132379036
569	0.05127190225
570	0.05117225324
571	0.05105166772
572	0.05099358342
573	0.05092125356
574	0.05088143311
575	0.05080834762
576	0.05074565349
577	0.05063416014
578	0.05057881835
579	0.05050189834
580	0.05045517759
581	0.05039281878
582	0.05027977852
583	0.05020305737
584	0.05014970044
585	0.05010353341
586	0.05005549417
587	0.04997660665
588	0.04989243609
589	0.04984784006
590	0.04979089646
591	0.04972970298
592	0.0496756816
593	0.0495896913
594	0.04950757686
595	0.04944206155
596	0.04939249108
597	0.04934454476
598	0.04927403582
599	0.04920536589
600	0.04912391754
601	0.04907301085
602	0.04898080282
603	0.04892966406
604	0.04886260039
605	0.04881031578
606	0.04876347312
607	0.04872190614
608	0.04865768471
609	0.04855658027
610	0.04849961054
611	0.04845814198
612	0.04841871238
613	0.0483591392
614	0.04831189071
615	0.04823185647
616	0.04813372463
617	0.04805543969
618	0.04798555775
619	0.04794221217
620	0.04784677853
621	0.04778289879
622	0.0477439091
623	0.04767255709
624	0.04761682762
625	0.0475244855
626	0.04747787782
627	0.04741905073
628	0.04739837795
629	0.04731040299
630	0.0472540306
631	0.04714313936
632	0.04710040691
633	0.04702450725
634	0.04693429507
635	0.04687426079
636	0.04683803464
637	0.0468011397
638	0.04675740775
639	0.04670869423
640	0.04668900291
641	0.04663407988
642	0.04657432247
643	0.04653171186
644	0.04649880246
645	0.04645404188
646	0.04638360865
647	0.04629432053
648	0.04622622113
649	0.04618294841
650	0.04612495342
651	0.04602290812
652	0.04600413344
653	0.04596123691
654	0.04591050519
655	0.04583934206
656	0.04577820649
657	0.04575121526
658	0.0456998892
659	0.04564451517
660	0.04557123186
661	0.0455327793
662	0.04544094427
663	0.04531696501
664	0.04526997721
665	0.04520789392
666	0.04516642188
667	0.0451025925
668	0.04502697705
669	0.04496445182
670	0.0449213784
671	0.04486048174
672	0.04480173871
673	0.04472919693
674	0.04467877873
675	0.04463697402
676	0.04459665717
677	0.04453927507
678	0.04449254544
679	0.04443198919
680	0.044391261
681	0.0443524589
682	0.04431201925
683	0.04424905888
684	0.04419472764
685	0.04415069921
686	0.04411927198
687	0.04407532621
688	0.04401602182
689	0.04396864842
690	0.04392792091
691	0.04387369497
692	0.04378725772
693	0.04374983746
694	0.04371076479
695	0.04362457809
696	0.04351416144
697	0.04346829994
698	0.04344371071
699	0.04340498371
700	0.04332766428
701	0.0432851463
702	0.04325593479
703	0.04321898584
704	0.04313604263
705	0.04308332999
706	0.04302954433
707	0.04296427759
708	0.04290866332
709	0.0428656105
710	0.04282168522
711	0.04275933302
712	0.04267166541
713	0.04262387843
714	0.04257107758
715	0.04252382879
716	0.04244840482
717	0.04240476132
718	0.04238875027
719	0.04234033503
720	0.04225153307
721	0.042181511
722	0.04213517403
723	0.04210064101
724	0.04205132868
725	0.04201709154
726	0.04197661837
727	0.04194402628
728	0.04187550551
729	0.04183889524
730	0.04180702236
731	0.0417564855
732	0.04171188799
733	0.04163163902
734	0.04158309586
735	0.04155035815
736	0.0414663368
737	0.0414237243
738	0.04139535793
739	0.04136891818
740	0.04131815911
741	0.04125175851
742	0.04122523449
743	0.04120345194
744	0.0411731685
745	0.04112440017
746	0.04109047592
747	0.04105310463
748	0.04103805747
749	0.04099857717
750	0.04097648425
751	0.04093412866
752	0.04090064455
753	0.04085586985
754	0.04081633157
755	0.04075373263
756	0.04071072238
757	0.0406458454
758	0.04060765674
759	0.04059347186
760	0.04051759995
761	0.04046543188
762	0.04043444333
763	0.04039440217
764	0.04037026645
765	0.04033671988
766	0.04030109407
767	0.04023011482
768	0.04013844863
769	0.04012752357
770	0.04008058381
771	0.04003815542
772	0.04000221398
773	0.03998575895
774	0.03995187886
775	0.03990147495
776	0.03982918309
777	0.03977627758
778	0.03974446451
779	0.03970789492
780	0.03966410425
781	0.03961946497
782	0.03958293902
783	0.03953907646
784	0.03949836314
785	0.03945254993
786	0.03941030751
787	0.03937823591
788	0.03934916665
789	0.03929807331
790	0.03923568115
791	0.03921085046
792	0.03917105507
793	0.0391005032
794	0.0390548292
795	0.0390294824
796	0.03899407907
797	0.0389252273
798	0.03888683354
799	0.03884774422
800	0.03877574666
801	0.03869922796
802	0.03867887852
803	0.03864352731
804	0.03857128946
805	0.0385000022
806	0.03845335969
807	0.03841469672
808	0.03838942633
809	0.03837706204
810	0.03834911564
811	0.03826518908
812	0.03818643581
813	0.03815198295
814	0.03808283393
815	0.03803353778
816	0.03796490876
817	0.03793694583
818	0.03789631301
819	0.03784959948
820	0.03779098124
821	0.03774012039
822	0.0377076219
823	0.03766975467
824	0.03763148182
825	0.0375465733
826	0.03749918316
827	0.03747968848
828	0.03745417638
829	0.03738884075
830	0.03736784651
831	0.03735171788
832	0.03731986612
833	0.03730477222
834	0.03726733839
835	0.03722226879
836	0.03718048608
837	0.03714806932
838	0.03710871296
839	0.03708568235
840	0.0370434875
841	0.03700313082
842	0.03693978015
843	0.03689051553
844	0.03682759427
845	0.03676764804
846	0.03674023455
847	0.03671422135
848	0.0366900835
849	0.03663699365
850	0.03660113341
851	0.03657185685
852	0.0365436357
853	0.03651009237
854	0.03649230322
855	0.03642916036
856	0.03640904728
857	0.03635798837
858	0.03629482171
859	0.03622814377
860	0.03619742196
861	0.03616180768
862	0.03612477869
863	0.03608542591
864	0.03597938194
865	0.03593757904
866	0.03590284142
867	0.03588120599
868	0.03585047072
869	0.03582380833
870	0.03579336282
871	0.03574793735
872	0.03571135259
873	0.03566179217
874	0.03559940577
875	0.03557040477
876	0.03552343145
877	0.03549959793
878	0.03548181362
879	0.03543420803
880	0.03540375525
881	0.03537692773
882	0.03531922082
883	0.03525842851
884	0.03521600549
885	0.03519596887
886	0.03513746611
887	0.03510716438
888	0.03507818534
889	0.03503168374
890	0.03501226972
891	0.03499325936
892	0.03497298363
893	0.03494690342
894	0.03489198296
895	0.0348530533
896	0.0348201786
897	0.03474467599
